"date","inst","party","value","color"
2015-06-13,"Emnid","cdu",40,"#373737"
2015-06-06,"Emnid","cdu",40,"#373737"
2015-05-30,"Emnid","cdu",40,"#373737"
2015-05-23,"Emnid","cdu",40,"#373737"
2015-05-16,"Emnid","cdu",40,"#373737"
2015-05-09,"Emnid","cdu",40,"#373737"
2015-05-03,"Emnid","cdu",41,"#373737"
2015-04-25,"Emnid","cdu",41,"#373737"
2015-04-18,"Emnid","cdu",41,"#373737"
2015-04-11,"Emnid","cdu",41,"#373737"
2015-04-04,"Emnid","cdu",42,"#373737"
2015-03-28,"Emnid","cdu",42,"#373737"
2015-03-21,"Emnid","cdu",41,"#373737"
2015-03-14,"Emnid","cdu",41,"#373737"
2015-03-07,"Emnid","cdu",40,"#373737"
2015-02-28,"Emnid","cdu",41,"#373737"
2015-02-21,"Emnid","cdu",41,"#373737"
2015-02-14,"Emnid","cdu",41,"#373737"
2015-02-07,"Emnid","cdu",40,"#373737"
2015-01-31,"Emnid","cdu",40,"#373737"
2015-01-24,"Emnid","cdu",41,"#373737"
2015-01-17,"Emnid","cdu",42,"#373737"
2015-01-10,"Emnid","cdu",43,"#373737"
2014-12-20,"Emnid","cdu",42,"#373737"
2014-12-14,"Emnid","cdu",41,"#373737"
2014-12-07,"Emnid","cdu",41,"#373737"
2014-11-30,"Emnid","cdu",41,"#373737"
2014-11-22,"Emnid","cdu",42,"#373737"
2014-11-16,"Emnid","cdu",41,"#373737"
2014-11-09,"Emnid","cdu",41,"#373737"
2014-11-02,"Emnid","cdu",41,"#373737"
2014-10-26,"Emnid","cdu",41,"#373737"
2014-10-19,"Emnid","cdu",42,"#373737"
2014-10-11,"Emnid","cdu",42,"#373737"
2014-10-05,"Emnid","cdu",41,"#373737"
2014-09-28,"Emnid","cdu",40,"#373737"
2014-09-21,"Emnid","cdu",40,"#373737"
2014-09-14,"Emnid","cdu",41,"#373737"
2014-09-07,"Emnid","cdu",42,"#373737"
2014-08-31,"Emnid","cdu",43,"#373737"
2014-08-24,"Emnid","cdu",41,"#373737"
2014-08-17,"Emnid","cdu",41,"#373737"
2014-08-10,"Emnid","cdu",41,"#373737"
2014-08-03,"Emnid","cdu",42,"#373737"
2014-07-27,"Emnid","cdu",41,"#373737"
2014-07-20,"Emnid","cdu",40,"#373737"
2014-07-13,"Emnid","cdu",40,"#373737"
2014-07-06,"Emnid","cdu",40,"#373737"
2014-06-29,"Emnid","cdu",40,"#373737"
2014-06-22,"Emnid","cdu",39,"#373737"
2014-06-15,"Emnid","cdu",39,"#373737"
2014-06-08,"Emnid","cdu",39,"#373737"
2014-06-01,"Emnid","cdu",39,"#373737"
2014-05-25,"Emnid","cdu",39,"#373737"
2014-05-18,"Emnid","cdu",39,"#373737"
2014-05-11,"Emnid","cdu",40,"#373737"
2014-05-04,"Emnid","cdu",40,"#373737"
2014-04-27,"Emnid","cdu",41,"#373737"
